RK,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR,diff_tot_oTDR,diff_tot_dTDR,diff_tot_TDR,diff_avg_oTDR,diff_avg_dTDR,diff_avg_TDR,diff_med_TDR,diff_med_TDR,diff_med_TDR
,Russell Westbrook,westbru01,28-027,G,12/09/2016,RS,OKC,,HOU,L,1,36,8,25,0.320,8,18,0.444,0,7,0.000,11,12,0.917,1,9,10,10,3,0,8,3,27,12.00,4.50,16.50,16.50,16.50,33.33,12.50,45.83,-14.21,1.75,-12.46,-14.57,1.57,-13.01,-13.10,2.69,-11.31
,Russell Westbrook,westbru01,28-023,G,12/05/2016,RS,OKC,@,ATL,W,1,34,10,22,0.455,7,14,0.500,3,8,0.375,9,14,0.643,1,12,13,12,1,1,4,1,32,23.70,4.90,28.60,28.60,28.60,69.71,14.41,84.12,22.17,3.66,25.83,21.80,3.48,25.28,23.28,4.60,26.97
,Russell Westbrook,westbru01,28-022,G,12/04/2016,RS,OKC,,NOP,W,1,38,10,23,0.435,8,15,0.533,2,8,0.250,6,9,0.667,1,16,17,12,1,0,10,1,28,13.80,5.40,19.20,19.20,19.20,36.32,14.21,50.53,-11.22,3.46,-7.76,-11.59,3.28,-8.31,-10.11,4.40,-6.62
,James Harden,hardeja01,27-097,G,12/01/2016,RS,HOU,@,GSW,W,1,46,8,23,0.348,6,12,0.500,2,11,0.182,11,14,0.786,1,14,15,13,2,1,7,4,29,17.70,5.30,23.00,23.00,23.00,38.48,11.52,50.00,-9.06,0.77,-8.29,-9.43,0.59,-8.84,-7.95,1.71,-7.14
,Russell Westbrook,westbru01,28-018,G,11/30/2016,RS,OKC,,WAS,W,1,41,12,35,0.343,11,29,0.379,1,6,0.167,10,10,1.000,4,10,14,11,2,0,5,3,35,20.80,3.80,24.60,24.60,24.60,50.73,9.27,60.00,3.19,-1.48,1.71,2.82,-1.66,1.16,4.30,-0.54,2.86
,Russell Westbrook,westbru01,28-016,G,11/28/2016,RS,OKC,@,NYK,W,1,36,9,23,0.391,7,20,0.350,2,3,0.667,7,7,1.000,5,12,17,14,2,0,7,3,27,20.80,4.40,25.20,25.20,25.20,57.78,12.22,70.00,10.24,1.47,11.71,9.87,1.29,11.16,11.35,2.41,12.86
,Russell Westbrook,westbru01,28-014,G,11/26/2016,RS,OKC,,DET,W,1,37,8,22,0.364,8,17,0.471,0,5,0.000,1,2,0.500,3,10,13,15,1,1,5,2,17,12.00,3.90,15.90,15.90,15.90,32.43,10.54,42.97,-15.11,-0.21,-15.32,-15.48,-0.39,-15.87,-14.00,0.73,-14.17
,Russell Westbrook,westbru01,28-013,G,11/25/2016,RS,OKC,@,DEN,W,1,41,9,25,0.360,6,21,0.286,3,4,0.750,15,17,0.882,1,10,11,17,0,1,7,3,36,26.90,2.50,29.40,29.40,29.40,65.61,6.10,71.71,18.07,-4.65,13.42,17.70,-4.83,12.87,19.18,-3.71,14.56
,Russell Westbrook,westbru01,28-008,G,11/20/2016,RS,OKC,,IND,L,1,40,13,34,0.382,11,26,0.423,2,8,0.250,3,5,0.600,5,6,11,15,2,0,7,3,31,18.60,2.60,21.20,21.20,21.20,46.50,6.50,53.00,-1.04,-4.25,-5.29,-1.41,-4.43,-5.84,0.07,-3.31,-4.14
,Russell Westbrook,westbru01,28-006,G,11/18/2016,RS,OKC,,BRK,W,1,34,13,21,0.619,13,20,0.650,0,1,0.000,4,5,0.800,3,7,10,13,1,0,3,0,30,28.30,3.10,31.40,31.40,31.40,83.24,9.12,92.35,35.70,-1.63,34.06,35.33,-1.81,33.51,36.81,-0.69,35.21
,James Harden,hardeja01,27-083,G,11/17/2016,RS,HOU,,POR,W,1,32,7,17,0.412,4,9,0.444,3,8,0.375,9,11,0.818,1,11,12,14,3,0,4,3,26,22.60,5.10,27.70,27.70,27.70,70.63,15.94,86.56,23.08,5.19,28.27,22.72,5.01,27.72,24.20,6.13,29.42
,Russell Westbrook,westbru01,28-001,G,11/13/2016,RS,OKC,,ORL,L,1,38,14,21,0.667,14,18,0.778,0,3,0.000,13,18,0.722,2,10,12,16,0,0,2,2,41,40.50,2.20,42.70,42.70,42.70,106.58,5.79,112.37,59.04,-4.96,54.08,58.67,-5.14,53.53,60.15,-4.02,55.23
,James Harden,hardeja01,27-078,G,11/12/2016,RS,HOU,,SAS,L,1,39,7,18,0.389,5,9,0.556,2,9,0.222,9,11,0.818,5,6,11,13,0,0,7,1,25,20.00,1.40,21.40,21.40,21.40,51.28,3.59,54.87,3.74,-7.16,-3.42,3.37,-7.34,-3.97,4.85,-6.22,-2.27
,James Harden,hardeja01,27-075,G,11/09/2016,RS,HOU,@,SAS,W,1,41,9,19,0.474,8,14,0.571,1,5,0.200,5,7,0.714,2,10,12,15,1,0,8,1,24,17.40,3.60,21.00,21.00,21.00,42.44,8.78,51.22,-5.10,-1.97,-7.07,-5.47,-2.15,-7.62,-3.99,-1.03,-5.92
,Russell Westbrook,westbru01,27-353,G,10/30/2016,RS,OKC,,LAL,W,1,34,11,21,0.524,6,15,0.400,5,6,0.833,6,6,1.000,4,7,11,16,1,1,7,3,33,29.70,2.60,32.30,32.30,32.30,87.35,7.65,95.00,39.81,-3.10,36.71,39.45,-3.28,36.16,40.92,-2.16,37.86
,Russell Westbrook,westbru01,27-351,G,10/28/2016,RS,OKC,,PHO,W,1,45,17,44,0.386,15,34,0.441,2,10,0.200,15,20,0.750,3,10,13,10,2,0,5,3,51,29.10,3.80,32.90,32.90,32.90,64.67,8.44,73.11,17.13,-2.31,14.82,16.76,-2.49,14.27,18.24,-1.37,15.97
,Average NBA Triple-Double,,,,,,,,,,,40.3,7.85466914,16.70556302,0.470,6.9,14.0,0.493,0.9,2.7,0.352,5.0,6.4,0.782,2.7,9.2,12.0,11.5,1.8,1.1,3.3,2.6,21.7,19.18,4.34,23.52,23.52,23.52,47.54,10.75,58.29,0.00,0.00,0.00,-0.37,-0.18,-0.55,1.11,0.94,1.15
