Rk,Player,link,Age,Pos,Date,RG/PL,Tm,H-A,Opp,W-L,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,GmScX,GmSc_pt,GmSc,oTDR,dTDR,TDR
1569,James Harden,hardeja01,27-173,G,02/15/17,RS,HOU,,MIA,L,1,42,10,21,0.476,.476,6,11,0.545,.545,4,10,0.400,.400,14,16,0.875,.875,3,9,12,12,0,1,4,5,38,33.00,1.40,34.40,34.40,34.4,78.57,3.33,81.90
884,Allen Iverson,iversal01,26-214,G,01/07/02,RS,PHI,,LAC,W,1,37,10,22,0.455,.455,9,20,0.450,.450,1,2,0.500,.500,9,11,0.818,.818,3,7,10,11,4,0,3,1,30,24.60,5.70,30.30,30.30,30.3,66.49,15.41,81.89
1596,James Harden,hardeja01,27-204,G,03/18/17,RS,HOU,@,DEN,W,1,37,11,23,0.478,.478,8,15,0.533,.533,3,8,0.375,.375,15,17,0.882,.882,0,10,10,10,2,0,8,3,40,26.50,3.80,30.30,30.30,30.3,71.62,10.27,81.89
1161,LeBron James,jamesle01,24-028,F-G,01/27/09,RS,CLE,,SAC,W,1,38,5,10,0.500,.500,5,8,0.625,.625,0,2,0.000,.000,13,15,0.867,.867,5,10,15,11,0,3,2,1,23,26.40,4.70,31.10,31.10,31.1,69.47,12.37,81.84
1544,James Harden,hardeja01,27-135,G,01/08/17,RS,HOU,@,TOR,W,1,38,13,26,0.500,.500,9,17,0.529,.529,4,9,0.444,.444,10,10,1.000,1000,3,7,10,11,2,2,10,3,40,26.80,4.30,31.10,31.10,31.1,70.53,11.32,81.84
1488,Russell Westbrook,westbru01,27-137,G,03/28/16,RS,OKC,@,TOR,W,1,34,10,16,0.625,.625,9,13,0.692,.692,1,3,0.333,.333,5,8,0.625,.625,3,7,10,12,1,0,3,1,26,25.10,2.70,27.80,27.80,27.8,73.82,7.94,81.76
793,Jason Kidd,kiddja01,26-269,G,12/17/99,RS,PHO,@,POR,W,1,40,14,23,0.609,.609,11,20,0.550,.550,3,3,1.000,1000,1,2,0.500,.500,3,9,12,10,2,0,1,3,32,29.20,3.50,32.70,32.70,32.7,73.00,8.75,81.75
109,Artis Gilmore,gilmoar01,35-136,C,02/04/85,RS,SAS,,GSW,W,1,37,5,8,0.625,.625,5,8,0.625,.625,0,0,0.000,,15,21,0.714,.714,4,9,13,1,2,10,2,5,25,20.50,9.70,30.20,30.20,30.2,55.41,26.22,81.62
1130,Earl Watson,watsoea01,28-239,G,02/06/08,RS,SEA,@,SAC,W,1,32,9,12,0.750,.750,6,8,0.750,.750,3,4,0.750,.750,2,2,1.000,1000,0,10,10,10,2,1,4,2,23,21.20,4.90,26.10,26.10,26.1,66.25,15.31,81.56
158,Hakeem Olajuwon,olajuha01,22-351,C,01/07/86,RS,HOU,,GSW,W,1,40,11,18,0.611,.611,11,18,0.611,.611,0,0,0.000,,4,6,0.667,.667,5,7,12,7,2,11,3,4,26,22.40,10.20,32.60,32.60,32.6,56.00,25.50,81.50
