Rk,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR
1189,LeBron James,jamesle01,25-050,F-G,02/18/2010,RS,CLE,,DEN,L,1,47,15,33,0.455,0.46,14.00,24.00,0.58,0.58,1.00,9.00,0.11,0.11,12,17,0.706,0.706,1,12,13,15,2,4,3,1,43,32.10,8.00,40.10,40.10,40.10,68.30,17.02,85.32
969,Kevin Garnett,garneke01,27-213,F-C,12/18/2003,RS,MIN,,DAL,W,1,41,13,26,0.500,0.50,12.00,25.00,0.48,0.48,1.00,1.00,1.00,"1,000.00",8,9,0.889,0.889,2,8,10,10,2,2,2,3,35,28.00,4.60,32.60,32.60,32.60,68.29,11.22,79.51
124,Bernard King,kingbe01,28-095,F,03/09/1985,RS,NYK,,PHI,W,1,52,13,25,0.520,0.52,13.00,25.00,0.52,0.52,0.00,0.00,0.00,,16,23,0.696,0.696,5,5,10,13,4,0,4,2,42,35.50,4.70,40.20,40.20,40.20,68.27,9.04,77.31
662,Jason Kidd,kiddja01,22-295,G,01/12/1996,RS,DAL,@,PHO,W,1,50,9,14,0.643,0.64,8.00,11.00,0.73,0.73,1.00,3.00,0.33,0.33,14,14,1.000,1.000,3,9,12,16,1,1,6,4,33,34.10,2.80,36.90,36.90,36.90,68.20,5.60,73.80
611,Hakeem Olajuwon,olajuha01,31-076,C,04/07/1994,RS,HOU,,GSW,W,1,37,12,23,0.522,0.52,11.00,22.00,0.50,0.50,1.00,1.00,1.00,"1,000.00",1,1,1.000,1.000,5,8,13,10,5,4,0,3,26,25.20,9.00,34.20,34.20,34.20,68.11,24.32,92.43
1564,Blake Griffin,griffbl01,27-327,F,02/06/2017,RS,LAC,@,TOR,L,1,37,11,19,0.579,0.58,9.00,16.00,0.56,0.56,2.00,3.00,0.67,0.67,2,3,0.667,0.667,4,7,11,11,1,0,2,3,26,25.20,1.90,27.10,27.10,27.10,68.11,5.14,73.24
12,Oscar Robertson,roberos01,22,G,11/21/1961,RS,CIN,@,PHI,L,1,44,9,19,0.478,0.48,9.00,18.83,0.48,0.48,,,,,7,8,0.875,0.875,4,12,16,18,,,,3,25,30.16,2.51,32.67,32.67,,68.09,5.67,73.76
1356,Kevin Love,loveke01,25-207,F,04/02/2014,RS,MIN,,MEM,W,1,36,9,15,0.600,0.60,7.00,10.00,0.70,0.70,2.00,5.00,0.40,0.40,4,5,0.800,0.800,4,12,16,10,1,1,2,2,24,24.50,4.50,29.00,29.00,29.00,68.06,12.50,80.56
210,Fat Lever,leverfa01,26-159,G,01/24/1987,RS,DEN,,MIL,W,1,41,9,16,0.563,0.56,9.00,16.00,0.56,0.56,0.00,0.00,0.00,,7,8,0.875,0.875,5,10,15,12,2,2,1,3,25,27.90,5.20,33.10,33.10,33.10,68.05,12.68,80.73
28,Oscar Robertson,roberos01,23,G,01/14/1962,RS,CIN,,STL,W,1,44,13,27,0.478,0.48,13.00,27.20,0.48,0.48,,,,,10,13,0.769,0.769,3,10,13,10,,,,4,36,30.03,1.41,31.44,31.44,,67.79,3.19,70.98
