Rk,Player,link,Age,Pos,Date,RG/PL,Tm,,Opp,,GS,MP,FG,FGA,FG%_pt,FG%,2P,2PA,2P%_pt,2P%,3P,3PA,3P%_pt,3P%,FT,FTA,FT%_pt,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Off Production,Def Production,,GmSc_pt,GmSc,oTDR,dTDR,TDR
353,Charles Barkley,barklch01,26-009,F,03/01/1989,RS,PHI,@,SAC,W,1,41,10,18,0.556,0.56,9.00,14.00,0.64,0.64,1.00,4.00,0.25,0.25,9,13,0.692,0.692,7,8,15,11,2,1,8,4,30,24.40,3.50,27.90,27.90,27.90,59.51,8.54,68.05
653,Kendall Gill,gillke01,27-201,G,12/12/1995,RS,CHH,@,PHO,W,1,39,6,9,0.667,0.67,4.00,7.00,0.57,0.57,2.00,2.00,1.00,"1,000.00",4,4,1.000,1.000,1,10,11,12,2,0,0,5,18,23.20,3.00,26.20,26.20,26.20,59.49,7.69,67.18
624,Scottie Pippen,pippesc01,29-107,F-G,01/10/1995,RS,CHI,,ORL,W,1,37,9,20,0.450,0.45,6.00,15.00,0.40,0.40,3.00,5.00,0.60,0.60,5,6,0.833,0.833,3,7,10,11,6,1,3,1,26,22.00,8.40,30.40,30.40,30.40,59.46,22.70,82.16
640,Jason Kidd,kiddja01,22-019,G,04/11/1995,RS,DAL,@,HOU,W,1,49,12,27,0.444,0.44,4.00,15.00,0.27,0.27,8.00,12.00,0.67,0.67,6,10,0.600,0.600,4,7,11,10,3,0,3,4,38,29.10,3.50,32.60,32.60,32.60,59.39,7.14,66.53
1424,Russell Westbrook,westbru01,26-363,G,11/10/2015,RS,OKC,@,WAS,W,1,28,7,17,0.412,0.41,4.00,13.00,0.31,0.31,3.00,4.00,0.75,0.75,5,6,0.833,0.833,2,9,11,11,1,0,5,0,22,16.60,3.70,20.30,20.30,20.30,59.29,13.21,72.50
102,Isiah Thomas,thomais01,23-250,G,01/05/1985,RS,DET,@,WSB,W,1,42,8,21,0.381,0.38,7.00,20.00,0.35,0.35,1.00,1.00,1.00,"1,000.00",10,13,0.769,0.769,5,6,11,13,4,0,2,3,27,24.90,4.60,29.50,29.50,29.50,59.29,10.95,70.24
167,Larry Bird,birdla01,29-078,F,02/23/1986,RS,BOS,,IND,W,1,41,12,27,0.444,0.44,12.00,24.00,0.50,0.50,0.00,3.00,0.00,0.00,6,7,0.857,0.857,2,9,11,12,4,0,1,2,30,24.30,5.90,30.20,30.20,30.20,59.27,14.39,73.66
55,Mychal Thompson,thompmy01,28-341,C-F,01/06/1984,RS,POR,,DEN,W,1,36,10,16,0.625,0.63,10.00,16.00,0.63,0.63,0.00,0.00,0.00,,4,9,0.444,0.444,4,12,16,11,0,4,4,2,24,21.30,5.60,26.90,26.90,26.90,59.17,15.56,74.72
1605,Elfrid Payton,paytoel01,23-038,G,04/01/2017,RS,ORL,@,BRK,L,1,35,6,12,0.500,0.50,5.00,10.00,0.50,0.50,1.00,2.00,0.50,0.50,7,8,0.875,0.875,2,9,11,11,1,0,2,0,20,20.70,3.70,24.40,24.40,24.40,59.14,10.57,69.71
614,Derrick Coleman,colemde01,26-302,F,04/19/1994,RS,NJN,@,PHI,W,1,44,11,27,0.407,0.41,11.00,25.00,0.44,0.44,0.00,2.00,0.00,0.00,9,9,1.000,1.000,5,7,12,10,2,1,1,1,31,26.00,4.40,30.40,30.40,30.40,59.09,10.00,69.09
563,Scottie Pippen,pippesc01,27-161,F-G,03/05/1993,RS,CHI,,SAS,L,1,51,18,30,0.600,0.60,16.00,27.00,0.59,0.59,2.00,3.00,0.67,0.67,1,4,0.250,0.250,3,10,13,10,2,1,3,2,39,30.10,4.90,35.00,35.00,35.00,59.02,9.61,68.63
1491,Jimmy Butler,butleji01,26-201,G-F,04/02/2016,RS,CHI,,DET,L,1,39,10,25,0.400,0.40,9.00,18.00,0.50,0.50,1.00,7.00,0.14,0.14,7,8,0.875,0.875,5,12,17,12,3,2,3,4,28,23.00,6.40,29.40,29.40,29.40,58.97,16.41,75.38
782,Jason Kidd,kiddja01,26-033,G,04/25/1999,RS,PHO,,HOU,W,1,37,8,14,0.571,0.57,6.00,12.00,0.50,0.50,2.00,2.00,1.00,"1,000.00",4,6,0.667,0.667,2,8,10,14,2,0,4,1,22,21.80,4.00,25.80,25.80,25.80,58.92,10.81,69.73
20,Oscar Robertson,roberos01,23,G,12/19/1961,RS,CIN,,PHI,L,1,44,11,23,0.478,0.48,11.00,23.01,0.48,0.48,,,,,6,9,0.667,0.667,3,9,12,13,,,,,28,26.10,2.78,28.88,28.88,,58.91,6.28,65.20
581,Shaquille O'Neal,onealsh01,21-259,C,11/20/1993,RS,ORL,@,NJN,W,1,36,12,19,0.632,0.63,12.00,19.00,0.63,0.63,0.00,0.00,0.00,,0,1,0.000,0.000,10,18,28,3,1,15,3,4,24,21.20,15.30,36.50,36.50,36.50,58.89,42.50,101.39
1046,LeBron James,jamesle01,21-047,F-G,02/15/2006,RS,CLE,@,BOS,W,1,54,16,32,0.500,0.50,16.00,27.00,0.59,0.59,0.00,5.00,0.00,0.00,11,15,0.733,0.733,1,11,12,11,2,4,2,5,43,31.80,6.10,37.90,37.90,37.90,58.89,11.30,70.19
121,Larry Bird,birdla01,28-086,F,03/03/1985,RS,BOS,,DET,W,1,43,10,23,0.435,0.44,9.00,21.00,0.43,0.43,1.00,2.00,0.50,0.50,9,10,0.900,0.900,4,11,15,10,1,0,2,2,30,25.30,3.50,28.80,28.80,28.80,58.84,8.14,66.98
189,Charles Barkley,barklch01,23-257,F,11/04/1986,RS,PHI,@,IND,L,1,53,15,20,0.750,0.75,15.00,19.00,0.79,0.79,0.00,1.00,0.00,0.00,4,5,0.800,0.800,1,9,10,14,2,4,5,5,34,31.10,5.50,36.60,36.60,36.60,58.68,10.38,69.06
1143,Chris Paul,paulch01,22-359,G,04/29/2008,PL,NOH,,DAL,W,1,44,10,19,0.526,0.53,8.00,16.00,0.50,0.50,2.00,3.00,0.67,0.67,2,4,0.500,0.500,2,9,11,15,2,0,0,2,24,25.80,3.90,29.70,29.70,29.70,58.64,8.86,67.50
50,Larry Bird,birdla01,26-358,F,11/30/1983,RS,BOS,,SAS,W,1,36,9,17,0.529,0.53,9.00,17.00,0.53,0.53,0.00,0.00,0.00,,5,6,0.833,0.833,1,13,14,13,4,0,3,1,23,21.10,7.50,28.60,28.60,28.60,58.61,20.83,79.44
368,Michael Jordan,jordami01,26-040,G-F,03/29/1989,RS,CHI,@,MIL,W,1,43,9,19,0.474,0.47,9.00,18.00,0.50,0.50,0.00,1.00,0.00,0.00,14,16,0.875,0.875,1,9,10,10,2,1,4,4,32,25.20,3.80,29.00,29.00,29.00,58.60,8.84,67.44
1055,Charlie Bell,bellch01,27-016,G,03/28/2006,RS,MIL,,PHO,W,1,35,7,12,0.583,0.58,2.00,4.00,0.50,0.50,5.00,8.00,0.63,0.63,0,0,0.000,0.000,0,10,10,13,3,0,2,2,19,20.50,5.20,25.70,25.70,25.70,58.57,14.86,73.43
1498,LeBron James,jamesle01,31-141,F-G,05/19/2016,PL,CLE,,TOR,W,1,34,7,13,0.538,0.54,7.00,11.00,0.64,0.64,0.00,2.00,0.00,0.00,9,17,0.529,0.529,1,10,11,11,3,0,2,2,23,19.90,5.20,25.10,25.10,25.10,58.53,15.29,73.82
889,Jason Kidd,kiddja01,28-314,G,01/31/2002,RS,NJN,,MIL,W,1,39,8,13,0.615,0.62,6.00,9.00,0.67,0.67,2.00,4.00,0.50,0.50,3,5,0.600,0.600,2,8,10,13,3,0,2,1,21,22.80,5.00,27.80,27.80,27.80,58.46,12.82,71.28
1031,LeBron James,jamesle01,20-324,F-G,11/19/2005,RS,CLE,@,PHI,W,1,47,14,24,0.583,0.58,14.00,22.00,0.64,0.64,0.00,2.00,0.00,0.00,8,10,0.800,0.800,2,9,11,10,1,1,5,1,36,27.40,4.00,31.40,31.40,31.40,58.30,8.51,66.81
1615,LeBron James,jamesle01,32-100,F-G,04/09/2017,RS,CLE,@,ATL,L,1,47,11,21,0.524,0.52,10.00,18.00,0.56,0.56,1.00,3.00,0.33,0.33,9,10,0.900,0.900,3,13,16,10,1,0,3,6,32,27.40,2.50,29.90,29.90,29.90,58.30,5.32,63.62
808,Antoine Walker,walkean02,23-209,F,03/08/2000,RS,BOS,,MIL,W,1,45,11,20,0.550,0.55,11.00,18.00,0.61,0.61,0.00,2.00,0.00,0.00,8,8,1.000,1.000,4,15,19,10,4,0,4,3,30,26.20,7.30,33.50,33.50,33.50,58.22,16.22,74.44
1089,Kevin Garnett,garneke01,30-268,F-C,02/11/2007,RS,MIN,,BOS,W,1,39,11,21,0.524,0.52,11.00,21.00,0.52,0.52,0.00,0.00,0.00,,4,6,0.667,0.667,4,7,11,10,0,0,2,1,26,22.70,1.70,24.40,24.40,24.40,58.21,4.36,62.56
1183,LeBron James,jamesle01,24-358,F-G,12/23/2009,RS,CLE,@,SAC,W,1,44,14,30,0.467,0.47,13.00,26.00,0.50,0.50,1.00,4.00,0.25,0.25,5,7,0.714,0.714,4,12,16,10,0,0,2,1,34,25.60,3.20,28.80,28.80,28.80,58.18,7.27,65.45
315,Magic Johnson,johnsma02,29-110,G-F,12/02/1988,RS,LAL,,UTA,W,1,38,8,12,0.667,0.67,8.00,9.00,0.89,0.89,0.00,3.00,0.00,0.00,1,1,1.000,1.000,4,8,12,15,3,0,3,2,17,22.10,4.60,26.70,26.70,26.70,58.16,12.11,70.26
244,Larry Bird,birdla01,30-119,F,04/05/1987,RS,BOS,@,PHI,L,1,48,16,32,0.500,0.50,14.00,29.00,0.48,0.48,2.00,3.00,0.67,0.67,5,5,1.000,1.000,5,5,10,12,1,0,7,4,39,27.90,0.90,28.80,28.80,28.80,58.13,1.88,60.00
422,Magic Johnson,johnsma02,30-176,G-F,02/06/1990,RS,LAL,@,POR,W,1,37,8,18,0.444,0.44,4.00,10.00,0.40,0.40,4.00,8.00,0.50,0.50,4,4,1.000,1.000,2,8,10,15,3,0,5,6,24,21.50,3.00,24.50,24.50,24.50,58.11,8.11,66.22
1028,Steve Nash,nashst01,31-100,G,05/18/2005,PL,PHO,,DAL,W,1,42,13,26,0.500,0.50,11.00,21.00,0.52,0.52,2.00,5.00,0.40,0.40,6,6,1.000,1.000,0,13,13,12,1,0,5,0,34,24.40,4.90,29.30,29.30,29.30,58.10,11.67,69.76
456,Magic Johnson,johnsma02,31-089,G-F,11/11/1990,RS,LAL,,NYK,L,1,41,6,17,0.353,0.35,6.00,14.00,0.43,0.43,0.00,3.00,0.00,0.00,12,12,1.000,1.000,5,10,15,14,2,0,4,2,24,23.80,4.20,28.00,28.00,28.00,58.05,10.24,68.29
420,David Robinson,robinda01,24-180,C,02/02/1990,RS,SAS,@,CHH,W,1,35,11,17,0.647,0.65,11.00,17.00,0.65,0.65,0.00,0.00,0.00,,5,10,0.500,0.500,1,14,15,3,2,11,0,1,27,20.30,13.50,33.80,33.80,33.80,58.00,38.57,96.57
179,Charles Barkley,barklch01,23-066,F,04/27/1986,PL,PHI,,WSB,W,1,35,8,12,0.667,0.67,8.00,12.00,0.67,0.67,0.00,0.00,0.00,,3,3,1.000,1.000,3,12,15,12,2,1,4,4,19,20.30,4.70,25.00,25.00,25.00,58.00,13.43,71.43
156,Cliff Robinson,robincl01,25-295,F,01/02/1986,RS,WSB,@,NYK,W,1,43,11,19,0.579,0.58,11.00,19.00,0.58,0.58,0.00,0.00,0.00,,6,6,1.000,1.000,4,9,13,10,2,1,4,6,28,24.90,3.00,27.90,27.90,27.90,57.91,6.98,64.88
1132,Carlos Boozer,boozeca01,26-085,F-C,02/13/2008,RS,UTA,@,SEA,W,1,38,9,17,0.529,0.53,9.00,17.00,0.53,0.53,0.00,0.00,0.00,,4,6,0.667,0.667,3,8,11,10,5,0,0,4,22,22.00,5.80,27.80,27.80,27.80,57.89,15.26,73.16
1201,Trevor Ariza,arizatr01,24-288,F,04/14/2010,RS,HOU,,NOH,L,1,38,11,18,0.611,0.61,8.00,11.00,0.73,0.73,3.00,7.00,0.43,0.43,1,4,0.250,0.250,2,8,10,10,0,2,3,0,26,22.00,3.80,25.80,25.80,25.80,57.89,10.00,67.89
599,David Robinson,robinda01,28-186,C,02/08/1994,RS,SAS,,WSB,W,1,42,11,16,0.688,0.69,11.00,16.00,0.69,0.69,0.00,0.00,0.00,,9,13,0.692,0.692,1,13,14,10,1,7,6,1,31,24.30,9.40,33.70,33.70,33.70,57.86,22.38,80.24
945,Kevin Garnett,garneke01,26-294,F-C,03/09/2003,RS,MIN,@,PHO,W,1,42,10,22,0.455,0.46,10.00,20.00,0.50,0.50,0.00,2.00,0.00,0.00,9,11,0.818,0.818,3,11,14,12,1,2,3,1,29,24.30,5.30,29.60,29.60,29.60,57.86,12.62,70.48
513,Mitch Richmond,richmmi01,26-186,G,01/02/1992,RS,SAC,,PHI,W,1,42,11,20,0.550,0.55,9.00,14.00,0.64,0.64,2.00,6.00,0.33,0.33,5,8,0.625,0.625,3,7,10,10,4,1,3,4,29,24.30,5.20,29.50,29.50,29.50,57.86,12.38,70.24
1280,Jose Calderon,caldejo01,31-079,G,12/16/2012,RS,TOR,,HOU,W,1,37,6,12,0.500,0.50,5.00,7.00,0.71,0.71,1.00,5.00,0.20,0.20,5,6,0.833,0.833,0,10,10,14,1,1,0,1,18,21.40,4.30,25.70,25.70,25.70,57.84,11.62,69.46
374,Clyde Drexler,drexlcl01,26-286,G,04/04/1989,RS,POR,,DET,W,1,41,9,18,0.500,0.50,9.00,17.00,0.53,0.53,0.00,1.00,0.00,0.00,7,10,0.700,0.700,7,6,13,10,1,1,3,3,25,23.70,2.30,26.00,26.00,26.00,57.80,5.61,63.41
1516,Russell Westbrook,westbru01,28-016,G,11/28/2016,RS,OKC,@,NYK,W,1,36,9,23,0.391,0.39,7.00,20.00,0.35,0.35,2.00,3.00,0.67,0.67,7,7,1.000,1.000,5,12,17,14,2,0,7,3,27,20.80,4.40,25.20,25.20,25.20,57.78,12.22,70.00
957,Paul Pierce,piercpa01,25-206,F-G,05/07/2003,PL,BOS,@,NJN,L,1,45,9,17,0.529,0.53,8.00,14.00,0.57,0.57,1.00,3.00,0.33,0.33,13,15,0.867,0.867,2,8,10,11,2,1,6,4,32,26.00,3.50,29.50,29.50,29.50,57.78,7.78,65.56
1397,Russell Westbrook,westbru01,26-116,G,03/08/2015,RS,OKC,,TOR,W,1,40,9,21,0.429,0.43,8.00,17.00,0.47,0.47,1.00,4.00,0.25,0.25,11,13,0.846,0.846,3,8,11,17,4,1,9,1,30,23.10,6.70,29.80,29.80,29.80,57.75,16.75,74.50
19,Oscar Robertson,roberos01,23,G,12/16/1961,RS,CIN,@,DET,W,1,44,11,23,0.478,0.48,11.00,23.01,0.48,0.48,,,,,5,6,0.833,0.833,2,8,10,13,,,,,27,25.58,2.32,27.90,27.90,,57.75,5.23,62.98
587,Scottie Pippen,pippesc01,28-086,F-G,12/20/1993,RS,CHI,,CHH,W,1,35,11,19,0.579,0.58,11.00,17.00,0.65,0.65,0.00,2.00,0.00,0.00,0,2,0.000,0.000,7,4,11,10,5,1,4,3,22,20.20,5.70,25.90,25.90,25.90,57.71,16.29,74.00
651,Grant Hill,hillgr01,23-058,F-G,12/02/1995,RS,DET,,ATL,W,1,39,9,19,0.474,0.47,9.00,19.00,0.47,0.47,0.00,0.00,0.00,,6,10,0.600,0.600,3,10,13,11,1,0,0,1,24,22.50,3.60,26.10,26.10,26.10,57.69,9.23,66.92
605,Vlade Divac,divacvl01,26-035,C,03/10/1994,RS,LAL,,DAL,W,1,43,9,12,0.750,0.75,9.00,12.00,0.75,0.75,0.00,0.00,0.00,,4,4,1.000,1.000,6,11,17,12,1,2,5,5,22,24.80,3.70,28.50,28.50,28.50,57.67,8.60,66.28
1147,Dwight Howard,howardw01,22-340,C,11/12/2008,RS,ORL,@,OKC,W,1,38,12,21,0.571,0.57,12.00,21.00,0.57,0.57,0.00,0.00,0.00,,6,13,0.462,0.462,5,14,19,3,0,10,1,3,30,21.90,10.00,31.90,31.90,31.90,57.63,26.32,83.95
233,Fat Lever,leverfa01,26-215,G,03/21/1987,RS,DEN,@,WSB,W,1,45,12,21,0.571,0.57,12.00,21.00,0.57,0.57,0.00,0.00,0.00,,3,3,1.000,1.000,3,10,13,11,1,0,1,4,27,25.90,2.40,28.30,28.30,28.30,57.56,5.33,62.89
1374,Eric Bledsoe,bledser01,24-364,G,12/08/2014,RS,PHO,@,LAC,L,1,45,8,16,0.500,0.50,6.00,10.00,0.60,0.60,2.00,6.00,0.33,0.33,9,9,1.000,1.000,1,10,11,16,2,2,5,4,27,25.90,4.80,30.70,30.70,30.70,57.56,10.67,68.22
508,Scottie Pippen,pippesc01,26-070,F-G,12/04/1991,RS,CHI,,CLE,W,1,43,10,24,0.417,0.42,10.00,24.00,0.42,0.42,0.00,0.00,0.00,,8,8,1.000,1.000,5,10,15,10,1,2,1,3,28,24.70,4.20,28.90,28.90,28.90,57.44,9.77,67.21
888,Andre Miller,millean02,25-313,G,01/26/2002,RS,CLE,,BOS,L,1,43,8,17,0.471,0.47,8.00,14.00,0.57,0.57,0.00,3.00,0.00,0.00,9,12,0.750,0.750,1,9,10,17,1,0,3,4,25,24.70,2.10,26.80,26.80,26.80,57.44,4.88,62.33
695,Scottie Pippen,pippesc01,30-219,F-G,05/01/1996,PL,CHI,@,MIA,W,1,39,6,12,0.500,0.50,4.00,8.00,0.50,0.50,2.00,4.00,0.50,0.50,8,11,0.727,0.727,8,10,18,10,1,3,5,3,22,22.40,4.90,27.30,27.30,27.30,57.44,12.56,70.00
656,Derrick McKey,mckeyde01,29-071,F-C,12/20/1995,RS,IND,,LAL,W,1,35,7,12,0.583,0.58,7.00,11.00,0.64,0.64,0.00,1.00,0.00,0.00,3,5,0.600,0.600,4,9,13,11,0,1,1,4,17,20.10,1.80,21.90,21.90,21.90,57.43,5.14,62.57
1018,Steve Nash,nashst01,31-051,G,03/30/2005,RS,PHO,,PHI,W,1,27,4,7,0.571,0.57,4.00,7.00,0.57,0.57,0.00,0.00,0.00,,4,4,1.000,1.000,2,11,13,12,0,0,3,1,12,15.50,2.90,18.40,18.40,18.40,57.41,10.74,68.15
1371,Kobe Bryant,bryanko01,36-099,G-F,11/30/2014,RS,LAL,,TOR,W,1,42,11,24,0.458,0.46,11.00,23.00,0.48,0.48,0.00,1.00,0.00,0.00,9,13,0.692,0.692,1,10,11,12,0,1,2,2,31,24.10,2.90,27.00,27.00,27.00,57.38,6.90,64.29
1136,Hedo Turkoglu,turkohe01,28-357,F,03/10/2008,RS,ORL,,ATL,W,1,38,9,17,0.529,0.53,6.00,11.00,0.55,0.55,3.00,6.00,0.50,0.50,2,2,1.000,1.000,0,10,10,13,0,0,2,2,23,21.80,2.20,24.00,24.00,24.00,57.37,5.79,63.16
1604,Russell Westbrook,westbru01,28-139,G,03/31/2017,RS,OKC,,SAS,L,1,37,8,22,0.364,0.36,6.00,15.00,0.40,0.40,2.00,7.00,0.29,0.29,14,15,0.933,0.933,2,13,15,12,0,0,8,1,32,21.20,3.50,24.70,24.70,24.70,57.30,9.46,66.76
1590,LeBron James,jamesle01,32-074,F-G,03/14/2017,RS,CLE,,DET,W,1,28,6,12,0.500,0.50,6.00,10.00,0.60,0.60,0.00,2.00,0.00,0.00,4,5,0.800,0.800,0,11,11,12,0,0,2,0,16,16.00,3.30,19.30,19.30,19.30,57.14,11.79,68.93
1006,LeBron James,jamesle01,20-020,F-G,01/19/2005,RS,CLE,@,POR,W,1,44,11,16,0.688,0.69,10.00,15.00,0.67,0.67,1.00,1.00,1.00,"1,000.00",4,6,0.667,0.667,1,10,11,10,4,0,2,4,27,25.10,5.40,30.50,30.50,30.50,57.05,12.27,69.32
904,Chauncey Billups,billuch01,25-190,G,04/03/2002,RS,MIN,,MEM,W,1,40,10,17,0.588,0.59,7.00,11.00,0.64,0.64,3.00,6.00,0.50,0.50,3,4,0.750,0.750,3,8,11,10,1,0,4,1,26,22.80,3.00,25.80,25.80,25.80,57.00,7.50,64.50
135,Johnny Moore,moorejo01,27-054,G,04/26/1985,PL,SAS,,DEN,W,1,36,7,10,0.700,0.70,7.00,10.00,0.70,0.70,0.00,0.00,0.00,,3,6,0.500,0.500,1,9,10,16,4,2,3,3,17,20.50,6.90,27.40,27.40,27.40,56.94,19.17,76.11
297,Fat Lever,leverfa01,27-226,G,03/31/1988,RS,DEN,,SAC,W,1,38,8,15,0.533,0.53,8.00,15.00,0.53,0.53,0.00,0.00,0.00,,5,5,1.000,1.000,2,8,10,15,2,0,4,3,21,21.60,3.20,24.80,24.80,24.80,56.84,8.42,65.26
923,Kobe Bryant,bryanko01,24-102,G-F,12/03/2002,RS,LAL,,MEM,W,1,41,11,16,0.688,0.69,10.00,14.00,0.71,0.71,1.00,2.00,0.50,0.50,1,1,1.000,1.000,2,8,10,11,1,3,3,1,24,23.30,5.10,28.40,28.40,28.40,56.83,12.44,69.27
1348,Michael Carter-Williams,cartemi01,22-151,G,03/10/2014,RS,PHI,@,NYK,L,1,37,8,12,0.667,0.67,7.00,10.00,0.70,0.70,1.00,2.00,0.50,0.50,6,9,0.667,0.667,2,11,13,10,2,0,4,4,23,21.00,3.70,24.70,24.70,24.70,56.76,10.00,66.76
1236,Blake Griffin,griffbl01,22-007,F,03/23/2011,RS,LAC,,WAS,W,1,51,14,19,0.737,0.74,14.00,18.00,0.78,0.78,0.00,1.00,0.00,0.00,5,8,0.625,0.625,4,13,17,10,1,1,5,6,33,28.90,3.20,32.10,32.10,32.10,56.67,6.27,62.94
927,Chris Webber,webbech01,29-295,F-C,12/21/2002,RS,SAC,@,PHO,L,1,44,14,25,0.560,0.56,14.00,24.00,0.58,0.58,0.00,1.00,0.00,0.00,1,1,1.000,1.000,3,12,15,11,5,0,2,3,29,24.90,7.40,32.30,32.30,32.30,56.59,16.82,73.41
1050,Paul Pierce,piercpa01,28-146,F-G,03/08/2006,RS,BOS,,PHI,W,1,44,9,18,0.500,0.50,7.00,14.00,0.50,0.50,2.00,4.00,0.50,0.50,11,13,0.846,0.846,1,11,12,10,0,3,4,4,31,24.90,3.80,28.70,28.70,28.70,56.59,8.64,65.23
1398,Russell Westbrook,westbru01,26-121,G,03/13/2015,RS,OKC,,MIN,W,1,35,11,24,0.458,0.46,8.00,18.00,0.44,0.44,3.00,6.00,0.50,0.50,4,4,1.000,1.000,4,6,10,12,2,0,8,1,29,19.80,3.40,23.20,23.20,23.20,56.57,9.71,66.29
409,Larry Bird,birdla01,33-020,F,12/27/1989,RS,BOS,@,SAC,W,1,49,14,31,0.452,0.45,12.00,27.00,0.44,0.44,2.00,4.00,0.50,0.50,7,7,1.000,1.000,4,7,11,10,2,0,3,1,37,27.70,3.70,31.40,31.40,31.40,56.53,7.55,64.08
1577,LeBron James,jamesle01,32-061,F-G,03/01/2017,RS,CLE,@,BOS,L,1,40,10,21,0.476,0.48,7.00,15.00,0.47,0.47,3.00,6.00,0.50,0.50,5,8,0.625,0.625,5,8,13,10,1,1,4,3,28,22.60,2.90,25.50,25.50,25.50,56.50,7.25,63.75
841,Kevin Garnett,garneke01,24-210,F-C,12/15/2000,RS,MIN,@,DET,W,1,39,9,20,0.450,0.45,9.00,20.00,0.45,0.45,0.00,0.00,0.00,,8,8,1.000,1.000,2,11,13,10,2,1,2,3,26,22.00,4.80,26.80,26.80,26.80,56.41,12.31,68.72
1298,Paul George,georgpa01,22-287,F,02/13/2013,RS,IND,,CHA,W,1,39,8,17,0.471,0.47,7.00,13.00,0.54,0.54,1.00,4.00,0.25,0.25,6,7,0.857,0.857,1,11,12,12,2,0,1,2,23,22.00,4.50,26.50,26.50,26.50,56.41,11.54,67.95
1168,LeBron James,jamesle01,24-070,F-G,03/10/2009,RS,CLE,@,LAC,W,1,44,10,23,0.435,0.44,10.00,17.00,0.59,0.59,0.00,6.00,0.00,0.00,12,16,0.750,0.750,4,9,13,11,2,2,4,2,32,24.80,5.30,30.10,30.10,30.10,56.36,12.05,68.41
1186,Baron Davis,davisba01,30-274,G,01/12/2010,RS,LAC,@,MEM,L,1,46,11,21,0.524,0.52,10.00,16.00,0.63,0.63,1.00,5.00,0.20,0.20,4,4,1.000,1.000,4,8,12,12,5,1,2,4,27,25.90,6.50,32.40,32.40,32.40,56.30,14.13,70.43
1135,LeBron James,jamesle01,23-052,F-G,02/20/2008,RS,CLE,@,IND,W,1,43,11,22,0.500,0.50,10.00,17.00,0.59,0.59,1.00,5.00,0.20,0.20,8,12,0.667,0.667,2,12,14,12,2,1,4,1,31,24.20,5.90,30.10,30.10,30.10,56.28,13.72,70.00
1002,Paul Pierce,piercpa01,27-082,F-G,01/03/2005,RS,BOS,,NOH,W,1,32,6,13,0.462,0.46,3.00,8.00,0.38,0.38,3.00,5.00,0.60,0.60,4,5,0.800,0.800,3,7,10,10,1,2,3,3,19,18.00,3.30,21.30,21.30,21.30,56.25,10.31,66.56
107,Sidney Moncrief,moncrsi01,27-133,G,02/01/1985,RS,MIL,@,SEA,W,1,40,8,15,0.533,0.53,8.00,15.00,0.53,0.53,0.00,0.00,0.00,,5,6,0.833,0.833,5,6,11,11,1,2,2,2,21,22.50,3.40,25.90,25.90,25.90,56.25,8.50,64.75
895,Jason Kidd,kiddja01,28-333,G,02/19/2002,RS,NJN,,GSW,W,1,43,9,17,0.529,0.53,7.00,13.00,0.54,0.54,2.00,4.00,0.50,0.50,6,8,0.750,0.750,4,8,12,12,2,1,4,2,26,24.10,4.30,28.40,28.40,28.40,56.05,10.00,66.05
726,Damon Stoudamire,stoudda01,23-196,G,03/18/1997,RS,TOR,,PHI,W,1,43,9,16,0.563,0.56,8.00,13.00,0.62,0.62,1.00,3.00,0.33,0.33,11,12,0.917,0.917,1,9,10,12,1,0,7,3,30,24.10,2.50,26.60,26.60,26.60,56.05,5.81,61.86
158,Hakeem Olajuwon,olajuha01,22-351,C,01/07/1986,RS,HOU,,GSW,W,1,40,11,18,0.611,0.61,11.00,18.00,0.61,0.61,0.00,0.00,0.00,,4,6,0.667,0.667,5,7,12,7,2,11,3,4,26,22.40,10.20,32.60,32.60,32.60,56.00,25.50,81.50
929,Kobe Bryant,bryanko01,24-140,G-F,01/10/2003,RS,LAL,,CLE,W,1,34,7,12,0.583,0.58,7.00,10.00,0.70,0.70,0.00,2.00,0.00,0.00,7,10,0.700,0.700,3,7,10,11,4,1,5,2,21,19.00,6.00,25.00,25.00,25.00,55.88,17.65,73.53
592,Charles Barkley,barklch01,30-313,F,12/30/1993,RS,PHO,,PHI,W,1,41,8,14,0.571,0.57,6.00,11.00,0.55,0.55,2.00,3.00,0.67,0.67,4,10,0.400,0.400,5,9,14,12,2,0,2,3,22,22.90,3.50,26.40,26.40,26.40,55.85,8.54,64.39
1191,Russell Westbrook,westbru01,21-101,G,02/21/2010,RS,OKC,@,MIN,W,1,38,9,19,0.474,0.47,9.00,19.00,0.47,0.47,0.00,0.00,0.00,,4,4,1.000,1.000,3,7,10,14,2,0,3,2,22,21.20,3.30,24.50,24.50,24.50,55.79,8.68,64.47
227,Fat Lever,leverfa01,26-199,G,03/05/1987,RS,DEN,,SAS,W,1,42,8,15,0.533,0.53,8.00,15.00,0.53,0.53,0.00,0.00,0.00,,4,7,0.571,0.571,2,8,10,15,3,0,0,1,20,23.40,5.00,28.40,28.40,28.40,55.71,11.90,67.62
608,Shawn Kemp,kempsh01,24-114,F-C,03/20/1994,RS,SEA,@,CHH,W,1,35,4,7,0.571,0.57,4.00,7.00,0.57,0.57,0.00,0.00,0.00,,7,8,0.875,0.875,4,7,11,12,0,0,3,4,15,19.50,0.50,20.00,20.00,20.00,55.71,1.43,57.14
